Entity,Value,Type
United States,3206898121.50289,Total
China,2781552493.534483,Total
Russia,1353693857.245509,Total
Brazil,1088389117.1311476,Total
Indonesia,699998156.5671642,Total
India,645588717.2467532,Total
Germany,541181324.8323699,Total
Japan,471314683.4387097,Total
United Kingdom,453651222.4046243,Total
Canada,434619878.67052025,Total
United States,2466730501.9768786,Fossils
China,2246717607.448276,Fossils
Russia,714315999.3892215,Fossils
Brazil,140793331.55081967,Fossils
Indonesia,117254576.32686567,Fossils
India,387926623.1051948,Fossils
Germany,541886443.3872832,Fossils
Japan,436999433.6870968,Fossils
United Kingdom,434940039.2254335,Fossils
Canada,200074173.64393064,Fossils
United States,740167615.2890173,Land_Use
China,534834891.45689654,Land_Use
Russia,639377852.908982,Land_Use
Brazil,947595789.590164,Land_Use
Indonesia,582743579.3283582,Land_Use
India,257662088.2987013,Land_Use
Germany,-705119.478150289,Land_Use
Japan,34315245.72645161,Land_Use
United Kingdom,18711181.598554913,Land_Use
Canada,234545705.433526,Land_Use
