Sex,Citizenship,Family Role,Year,Value,Sum1,Index
Male,Italian,Son/Daughter,2021,791.273,865.91,Sex
Male,Foreigner,Son/Daughter,2021,74.636,865.91,Sex
Female,Italian,Son/Daughter,2021,648.527,706.49,Sex
Female,Foreigner,Son/Daughter,2021,57.962,706.49,Sex
Male,Italian,Son/Daughter,2022,657.139,717.78,Sex
Male,Foreigner,Son/Daughter,2022,60.642,717.78,Sex
Female,Italian,Son/Daughter,2022,513.121,559.78,Sex
Female,Foreigner,Son/Daughter,2022,46.664,559.78,Sex
Male,Italian,Son/Daughter,2023,528.162,571.45,Sex
Male,Foreigner,Son/Daughter,2023,43.284,571.45,Sex
Female,Italian,Son/Daughter,2023,427.877,462.0,Sex
Female,Foreigner,Son/Daughter,2023,34.121,462.0,Sex
Male,Italian,Parent,2021,20.834,28.27,Sex
Male,Foreigner,Parent,2021,7.439,28.27,Sex
Female,Italian,Parent,2021,156.525,255.69,Sex
Female,Foreigner,Parent,2021,99.162,255.69,Sex
Male,Italian,Parent,2022,13.424,17.34,Sex
Male,Foreigner,Parent,2022,3.914,17.34,Sex
Female,Italian,Parent,2022,131.477,220.51,Sex
Female,Foreigner,Parent,2022,89.03,220.51,Sex
Male,Italian,Parent,2023,11.772,15.26,Sex
Male,Foreigner,Parent,2023,3.485,15.26,Sex
Female,Italian,Parent,2023,131.459,214.23,Sex
Female,Foreigner,Parent,2023,82.775,214.23,Sex
Male,Italian,Single/Partner without children/Other,2021,45.997,67.97,Sex
Male,Foreigner,Single/Partner without children/Other,2021,21.978,67.97,Sex
Female,Italian,Single/Partner without children/Other,2021,76.087,107.29,Sex
Female,Foreigner,Single/Partner without children/Other,2021,31.206,107.29,Sex
Male,Italian,Single/Partner without children/Other,2022,44.837,65.34,Sex
Male,Foreigner,Single/Partner without children/Other,2022,20.503,65.34,Sex
Female,Italian,Single/Partner without children/Other,2022,62.536,88.8,Sex
Female,Foreigner,Single/Partner without children/Other,2022,26.264,88.8,Sex
Male,Italian,Single/Partner without children/Other,2023,41.821,63.65,Sex
Male,Foreigner,Single/Partner without children/Other,2023,21.832,63.65,Sex
Female,Italian,Single/Partner without children/Other,2023,55.074,78.44,Sex
Female,Foreigner,Single/Partner without children/Other,2023,23.37,78.44,Sex
Male,Italian,Son/Daughter,2021,791.273,1439.8,Citizenship
Female,Italian,Son/Daughter,2021,648.527,1439.8,Citizenship
Male,Foreigner,Son/Daughter,2021,74.636,132.6,Citizenship
Female,Foreigner,Son/Daughter,2021,57.962,132.6,Citizenship
Male,Italian,Son/Daughter,2022,657.139,1170.26,Citizenship
Female,Italian,Son/Daughter,2022,513.121,1170.26,Citizenship
Male,Foreigner,Son/Daughter,2022,60.642,107.31,Citizenship
Female,Foreigner,Son/Daughter,2022,46.664,107.31,Citizenship
Male,Italian,Son/Daughter,2023,528.162,956.04,Citizenship
Female,Italian,Son/Daughter,2023,427.877,956.04,Citizenship
Male,Foreigner,Son/Daughter,2023,43.284,77.4,Citizenship
Female,Foreigner,Son/Daughter,2023,34.121,77.4,Citizenship
Male,Italian,Parent,2021,20.834,177.36,Citizenship
Female,Italian,Parent,2021,156.525,177.36,Citizenship
Male,Foreigner,Parent,2021,7.439,106.6,Citizenship
Female,Foreigner,Parent,2021,99.162,106.6,Citizenship
Male,Italian,Parent,2022,13.424,144.9,Citizenship
Female,Italian,Parent,2022,131.477,144.9,Citizenship
Male,Foreigner,Parent,2022,3.914,92.94,Citizenship
Female,Foreigner,Parent,2022,89.03,92.94,Citizenship
Male,Italian,Parent,2023,11.772,143.23,Citizenship
Female,Italian,Parent,2023,131.459,143.23,Citizenship
Male,Foreigner,Parent,2023,3.485,86.26,Citizenship
Female,Foreigner,Parent,2023,82.775,86.26,Citizenship
Male,Italian,Single/Partner without children/Other,2021,45.997,122.08,Citizenship
Female,Italian,Single/Partner without children/Other,2021,76.087,122.08,Citizenship
Male,Foreigner,Single/Partner without children/Other,2021,21.978,53.18,Citizenship
Female,Foreigner,Single/Partner without children/Other,2021,31.206,53.18,Citizenship
Male,Italian,Single/Partner without children/Other,2022,44.837,107.37,Citizenship
Female,Italian,Single/Partner without children/Other,2022,62.536,107.37,Citizenship
Male,Foreigner,Single/Partner without children/Other,2022,20.503,46.77,Citizenship
Female,Foreigner,Single/Partner without children/Other,2022,26.264,46.77,Citizenship
Male,Italian,Single/Partner without children/Other,2023,41.821,96.9,Citizenship
Female,Italian,Single/Partner without children/Other,2023,55.074,96.9,Citizenship
Male,Foreigner,Single/Partner without children/Other,2023,21.832,45.2,Citizenship
Female,Foreigner,Single/Partner without children/Other,2023,23.37,45.2,Citizenship
