Sex,Value,Degree,Year
Male,384,None,2021 Q3
Female,424,None,2021 Q3
Total,808,None,2021 Q3
Male,436,High School Diploma,2021 Q3
Female,503,High School Diploma,2021 Q3
Total,939,High School Diploma,2021 Q3
Male,80,Degree/Post-degree,2021 Q3
Female,164,Degree/Post-degree,2021 Q3
Total,244,Degree/Post-degree,2021 Q3
Male,415,None,2021 Q4
Female,430,None,2021 Q4
Total,845,None,2021 Q4
Male,475,High School Diploma,2021 Q4
Female,472,High School Diploma,2021 Q4
Total,948,High School Diploma,2021 Q4
Male,68,Degree/Post-degree,2021 Q4
Female,126,Degree/Post-degree,2021 Q4
Total,194,Degree/Post-degree,2021 Q4
Male,406,None,2022 Q1
Female,401,None,2022 Q1
Total,806,None,2022 Q1
Male,466,High School Diploma,2022 Q1
Female,436,High School Diploma,2022 Q1
Total,902,High School Diploma,2022 Q1
Male,66,Degree/Post-degree,2022 Q1
Female,117,Degree/Post-degree,2022 Q1
Total,184,Degree/Post-degree,2022 Q1
Male,363,None,2022 Q2
Female,353,None,2022 Q2
Total,717,None,2022 Q2
Male,376,High School Diploma,2022 Q2
Female,423,High School Diploma,2022 Q2
Total,799,High School Diploma,2022 Q2
Male,62,Degree/Post-degree,2022 Q2
Female,121,Degree/Post-degree,2022 Q2
Total,183,Degree/Post-degree,2022 Q2
Male,229,None,2023 Q3
Female,250,None,2023 Q3
Total,479,None,2023 Q3
Male,365,High School Diploma,2023 Q3
Female,408,High School Diploma,2023 Q3
Total,774,High School Diploma,2023 Q3
Male,63,Degree/Post-degree,2023 Q3
Female,133,Degree/Post-degree,2023 Q3
Total,197,Degree/Post-degree,2023 Q3
Male,253,None,2022 Q4
Female,332,None,2022 Q4
Total,585,None,2022 Q4
Male,411,High School Diploma,2022 Q4
Female,387,High School Diploma,2022 Q4
Total,798,High School Diploma,2022 Q4
Male,63,Degree/Post-degree,2022 Q4
Female,93,Degree/Post-degree,2022 Q4
Total,156,Degree/Post-degree,2022 Q4
Male,268,None,2023 Q1
Female,302,None,2023 Q1
Total,570,None,2023 Q1
Male,352,High School Diploma,2023 Q1
Female,379,High School Diploma,2023 Q1
Total,730,High School Diploma,2023 Q1
Male,56,Degree/Post-degree,2023 Q1
Female,86,Degree/Post-degree,2023 Q1
Total,142,Degree/Post-degree,2023 Q1
Male,264,None,2023 Q2
Female,238,None,2023 Q2
Total,502,None,2023 Q2
Male,335,High School Diploma,2023 Q2
Female,381,High School Diploma,2023 Q2
Total,716,High School Diploma,2023 Q2
Male,56,Degree/Post-degree,2023 Q2
Female,99,Degree/Post-degree,2023 Q2
Total,155,Degree/Post-degree,2023 Q2
Male,229,None,2023 Q3
Female,250,None,2023 Q3
Total,479,None,2023 Q3
Male,365,High School Diploma,2023 Q3
Female,408,High School Diploma,2023 Q3
Total,774,High School Diploma,2023 Q3
Male,63,Degree/Post-degree,2023 Q3
Female,133,Degree/Post-degree,2023 Q3
Total,197,Degree/Post-degree,2023 Q3
Male,190,None,2023 Q4
Female,246,None,2023 Q4
Total,435,None,2023 Q4
Male,366,High School Diploma,2023 Q4
Female,400,High School Diploma,2023 Q4
Total,766,High School Diploma,2023 Q4
Male,56,Degree/Post-degree,2023 Q4
Female,98,Degree/Post-degree,2023 Q4
Total,155,Degree/Post-degree,2023 Q4
Male,220,None,2024 Q1
Female,246,None,2024 Q1
Total,466,None,2024 Q1
Male,343,High School Diploma,2024 Q1
Female,378,High School Diploma,2024 Q1
Total,722,High School Diploma,2024 Q1
Male,71,Degree/Post-degree,2024 Q1
Female,73,Degree/Post-degree,2024 Q1
Total,144,Degree/Post-degree,2024 Q1
Male,202,None,2024 Q2
Female,233,None,2024 Q2
Total,435,None,2024 Q2
Male,341,High School Diploma,2024 Q2
Female,356,High School Diploma,2024 Q2
Total,697,High School Diploma,2024 Q2
Male,57,Degree/Post-degree,2024 Q2
Female,80,Degree/Post-degree,2024 Q2
Total,138,Degree/Post-degree,2024 Q2
Male,211,None,2024 Q3
Female,222,None,2024 Q3
Total,432,None,2024 Q3
Male,389,High School Diploma,2024 Q3
Female,414,High School Diploma,2024 Q3
Total,804,High School Diploma,2024 Q3
Male,58,Degree/Post-degree,2024 Q3
Female,111,Degree/Post-degree,2024 Q3
Total,169,Degree/Post-degree,2024 Q3
