sex,age,unit,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
T,Y15-29,THS_PER,AT,Austria,2014,149
T,Y15-29,THS_PER,AT,Austria,2015,139
T,Y15-29,THS_PER,AT,Austria,2016,145
T,Y15-29,THS_PER,AT,Austria,2017,135
T,Y15-29,THS_PER,AT,Austria,2018,134
T,Y15-29,THS_PER,AT,Austria,2019,130
T,Y15-29,THS_PER,AT,Austria,2020,147
T,Y15-29,THS_PER,AT,Austria,2021,139
T,Y15-29,THS_PER,AT,Austria,2022,134
T,Y15-29,THS_PER,AT,Austria,2023,140
T,Y15-29,THS_PER,BA,Bosnia and Herzegovina,2021,155
T,Y15-29,THS_PER,BA,Bosnia and Herzegovina,2022,142
T,Y15-29,THS_PER,BA,Bosnia and Herzegovina,2023,133
T,Y15-29,THS_PER,BE,Belgium,2014,269
T,Y15-29,THS_PER,BE,Belgium,2015,277
T,Y15-29,THS_PER,BE,Belgium,2016,249
T,Y15-29,THS_PER,BE,Belgium,2017,240
T,Y15-29,THS_PER,BE,Belgium,2018,230
T,Y15-29,THS_PER,BE,Belgium,2019,226
T,Y15-29,THS_PER,BE,Belgium,2020,230
T,Y15-29,THS_PER,BE,Belgium,2021,205
T,Y15-29,THS_PER,BE,Belgium,2022,189
T,Y15-29,THS_PER,BE,Belgium,2023,199
T,Y15-29,THS_PER,BG,Bulgaria,2014,293
T,Y15-29,THS_PER,BG,Bulgaria,2015,264
T,Y15-29,THS_PER,BG,Bulgaria,2016,257
T,Y15-29,THS_PER,BG,Bulgaria,2017,209
T,Y15-29,THS_PER,BG,Bulgaria,2018,193
T,Y15-29,THS_PER,BG,Bulgaria,2019,149
T,Y15-29,THS_PER,BG,Bulgaria,2020,156
T,Y15-29,THS_PER,BG,Bulgaria,2021,148
T,Y15-29,THS_PER,BG,Bulgaria,2022,125
T,Y15-29,THS_PER,BG,Bulgaria,2023,118
T,Y15-29,THS_PER,CH,Switzerland,2014,113
T,Y15-29,THS_PER,CH,Switzerland,2015,108
T,Y15-29,THS_PER,CH,Switzerland,2016,111
T,Y15-29,THS_PER,CH,Switzerland,2017,105
T,Y15-29,THS_PER,CH,Switzerland,2018,96
T,Y15-29,THS_PER,CH,Switzerland,2019,90
T,Y15-29,THS_PER,CH,Switzerland,2020,90
T,Y15-29,THS_PER,CH,Switzerland,2023,111
T,Y15-29,THS_PER,CY,Cyprus,2014,35
T,Y15-29,THS_PER,CY,Cyprus,2015,31
T,Y15-29,THS_PER,CY,Cyprus,2016,30
T,Y15-29,THS_PER,CY,Cyprus,2017,30
T,Y15-29,THS_PER,CY,Cyprus,2018,25
T,Y15-29,THS_PER,CY,Cyprus,2019,21
T,Y15-29,THS_PER,CY,Cyprus,2020,22
T,Y15-29,THS_PER,CY,Cyprus,2021,22
T,Y15-29,THS_PER,CY,Cyprus,2022,21
T,Y15-29,THS_PER,CY,Cyprus,2023,21
T,Y15-29,THS_PER,CZ,Czechia,2014,219
T,Y15-29,THS_PER,CZ,Czechia,2015,208
T,Y15-29,THS_PER,CZ,Czechia,2016,190
T,Y15-29,THS_PER,CZ,Czechia,2017,167
T,Y15-29,THS_PER,CZ,Czechia,2018,157
T,Y15-29,THS_PER,CZ,Czechia,2019,159
T,Y15-29,THS_PER,CZ,Czechia,2020,176
T,Y15-29,THS_PER,CZ,Czechia,2021,172
T,Y15-29,THS_PER,CZ,Czechia,2022,178
T,Y15-29,THS_PER,CZ,Czechia,2023,165
T,Y15-29,THS_PER,DE,Germany,2014,1323
T,Y15-29,THS_PER,DE,Germany,2015,1298
T,Y15-29,THS_PER,DE,Germany,2016,1391
T,Y15-29,THS_PER,DE,Germany,2017,1321
T,Y15-29,THS_PER,DE,Germany,2018,1213
T,Y15-29,THS_PER,DE,Germany,2019,1154
T,Y15-29,THS_PER,DE,Germany,2020,1264
T,Y15-29,THS_PER,DE,Germany,2021,1230
T,Y15-29,THS_PER,DE,Germany,2022,1159
T,Y15-29,THS_PER,DE,Germany,2023,1174
T,Y15-29,THS_PER,DK,Denmark,2014,85
T,Y15-29,THS_PER,DK,Denmark,2015,91
T,Y15-29,THS_PER,DK,Denmark,2016,92
T,Y15-29,THS_PER,DK,Denmark,2017,109
T,Y15-29,THS_PER,DK,Denmark,2018,107
T,Y15-29,THS_PER,DK,Denmark,2019,107
T,Y15-29,THS_PER,DK,Denmark,2020,113
T,Y15-29,THS_PER,DK,Denmark,2021,93
T,Y15-29,THS_PER,DK,Denmark,2022,88
T,Y15-29,THS_PER,DK,Denmark,2023,96
T,Y15-29,THS_PER,EE,Estonia,2014,32
T,Y15-29,THS_PER,EE,Estonia,2015,29
T,Y15-29,THS_PER,EE,Estonia,2016,31
T,Y15-29,THS_PER,EE,Estonia,2017,23
T,Y15-29,THS_PER,EE,Estonia,2018,25
T,Y15-29,THS_PER,EE,Estonia,2019,20
T,Y15-29,THS_PER,EE,Estonia,2020,22
T,Y15-29,THS_PER,EE,Estonia,2021,22
T,Y15-29,THS_PER,EE,Estonia,2022,21
T,Y15-29,THS_PER,EE,Estonia,2023,19
T,Y15-29,THS_PER,EL,Greece,2014,455
T,Y15-29,THS_PER,EL,Greece,2015,403
T,Y15-29,THS_PER,EL,Greece,2016,364
T,Y15-29,THS_PER,EL,Greece,2017,341
T,Y15-29,THS_PER,EL,Greece,2018,310
T,Y15-29,THS_PER,EL,Greece,2019,281
T,Y15-29,THS_PER,EL,Greece,2020,297
T,Y15-29,THS_PER,EL,Greece,2021,279
T,Y15-29,THS_PER,EL,Greece,2022,247
T,Y15-29,THS_PER,EL,Greece,2023,258
T,Y15-29,THS_PER,ES,Spain,2014,1483
T,Y15-29,THS_PER,ES,Spain,2015,1373
T,Y15-29,THS_PER,ES,Spain,2016,1262
T,Y15-29,THS_PER,ES,Spain,2017,1148
T,Y15-29,THS_PER,ES,Spain,2018,1083
T,Y15-29,THS_PER,ES,Spain,2019,1070
T,Y15-29,THS_PER,ES,Spain,2020,1263
T,Y15-29,THS_PER,ES,Spain,2021,1041
T,Y15-29,THS_PER,ES,Spain,2022,952
T,Y15-29,THS_PER,ES,Spain,2023,949
T,Y15-29,THS_PER,FI,Finland,2014,109
T,Y15-29,THS_PER,FI,Finland,2015,114
T,Y15-29,THS_PER,FI,Finland,2016,107
T,Y15-29,THS_PER,FI,Finland,2017,100
T,Y15-29,THS_PER,FI,Finland,2018,92
T,Y15-29,THS_PER,FI,Finland,2019,86
T,Y15-29,THS_PER,FI,Finland,2020,92
T,Y15-29,THS_PER,FI,Finland,2021,86
T,Y15-29,THS_PER,FI,Finland,2022,87
T,Y15-29,THS_PER,FI,Finland,2023,86
T,Y15-29,THS_PER,FR,France,2014,1518
T,Y15-29,THS_PER,FR,France,2015,1577
T,Y15-29,THS_PER,FR,France,2016,1538
T,Y15-29,THS_PER,FR,France,2017,1489
T,Y15-29,THS_PER,FR,France,2018,1460
T,Y15-29,THS_PER,FR,France,2019,1396
T,Y15-29,THS_PER,FR,France,2020,1513
T,Y15-29,THS_PER,FR,France,2021,1432
T,Y15-29,THS_PER,FR,France,2022,1369
T,Y15-29,THS_PER,FR,France,2023,1422
T,Y15-29,THS_PER,HR,Croatia,2014,160
T,Y15-29,THS_PER,HR,Croatia,2015,142
T,Y15-29,THS_PER,HR,Croatia,2016,134
T,Y15-29,THS_PER,HR,Croatia,2017,119
T,Y15-29,THS_PER,HR,Croatia,2018,100
T,Y15-29,THS_PER,HR,Croatia,2019,90
T,Y15-29,THS_PER,HR,Croatia,2020,90
T,Y15-29,THS_PER,HR,Croatia,2021,91
T,Y15-29,THS_PER,HR,Croatia,2022,80
T,Y15-29,THS_PER,HR,Croatia,2023,73
T,Y15-29,THS_PER,HU,Hungary,2014,253
T,Y15-29,THS_PER,HU,Hungary,2015,224
T,Y15-29,THS_PER,HU,Hungary,2016,201
T,Y15-29,THS_PER,HU,Hungary,2017,185
T,Y15-29,THS_PER,HU,Hungary,2018,169
T,Y15-29,THS_PER,HU,Hungary,2019,174
T,Y15-29,THS_PER,HU,Hungary,2020,193
T,Y15-29,THS_PER,HU,Hungary,2021,179
T,Y15-29,THS_PER,HU,Hungary,2022,162
T,Y15-29,THS_PER,HU,Hungary,2023,166
T,Y15-29,THS_PER,IE,Ireland,2014,155
T,Y15-29,THS_PER,IE,Ireland,2015,143
T,Y15-29,THS_PER,IE,Ireland,2016,126
T,Y15-29,THS_PER,IE,Ireland,2017,113
T,Y15-29,THS_PER,IE,Ireland,2018,104
T,Y15-29,THS_PER,IE,Ireland,2019,104
T,Y15-29,THS_PER,IE,Ireland,2020,130
T,Y15-29,THS_PER,IE,Ireland,2021,91
T,Y15-29,THS_PER,IE,Ireland,2022,82
T,Y15-29,THS_PER,IE,Ireland,2023,83
T,Y15-29,THS_PER,IS,Iceland,2014,4
T,Y15-29,THS_PER,IS,Iceland,2015,3
T,Y15-29,THS_PER,IS,Iceland,2016,3
T,Y15-29,THS_PER,IS,Iceland,2017,3
T,Y15-29,THS_PER,IS,Iceland,2018,4
T,Y15-29,THS_PER,IS,Iceland,2019,4
T,Y15-29,THS_PER,IS,Iceland,2020,5
T,Y15-29,THS_PER,IS,Iceland,2021,5
T,Y15-29,THS_PER,IS,Iceland,2022,4
T,Y15-29,THS_PER,IS,Iceland,2023,4
T,Y15-29,THS_PER,IT,Italy,2014,2415
T,Y15-29,THS_PER,IT,Italy,2015,2344
T,Y15-29,THS_PER,IT,Italy,2016,2208
T,Y15-29,THS_PER,IT,Italy,2017,2182
T,Y15-29,THS_PER,IT,Italy,2018,2108
T,Y15-29,THS_PER,IT,Italy,2019,1991
T,Y15-29,THS_PER,IT,Italy,2020,2084
T,Y15-29,THS_PER,IT,Italy,2021,2032
T,Y15-29,THS_PER,IT,Italy,2022,1670
T,Y15-29,THS_PER,IT,Italy,2023,1405
T,Y15-29,THS_PER,LT,Lithuania,2014,73
T,Y15-29,THS_PER,LT,Lithuania,2015,65
T,Y15-29,THS_PER,LT,Lithuania,2016,56
T,Y15-29,THS_PER,LT,Lithuania,2017,50
T,Y15-29,THS_PER,LT,Lithuania,2018,43
T,Y15-29,THS_PER,LT,Lithuania,2019,49
T,Y15-29,THS_PER,LT,Lithuania,2020,57
T,Y15-29,THS_PER,LT,Lithuania,2021,54
T,Y15-29,THS_PER,LT,Lithuania,2022,44
T,Y15-29,THS_PER,LT,Lithuania,2023,54
T,Y15-29,THS_PER,LU,Luxembourg,2014,6
T,Y15-29,THS_PER,LU,Luxembourg,2015,8
T,Y15-29,THS_PER,LU,Luxembourg,2016,7
T,Y15-29,THS_PER,LU,Luxembourg,2017,7
T,Y15-29,THS_PER,LU,Luxembourg,2018,9
T,Y15-29,THS_PER,LU,Luxembourg,2019,7
T,Y15-29,THS_PER,LU,Luxembourg,2020,9
T,Y15-29,THS_PER,LU,Luxembourg,2021,10
T,Y15-29,THS_PER,LU,Luxembourg,2022,8
T,Y15-29,THS_PER,LU,Luxembourg,2023,10
T,Y15-29,THS_PER,LV,Latvia,2014,54
T,Y15-29,THS_PER,LV,Latvia,2015,47
T,Y15-29,THS_PER,LV,Latvia,2016,43
T,Y15-29,THS_PER,LV,Latvia,2017,38
T,Y15-29,THS_PER,LV,Latvia,2018,35
T,Y15-29,THS_PER,LV,Latvia,2019,30
T,Y15-29,THS_PER,LV,Latvia,2020,33
T,Y15-29,THS_PER,LV,Latvia,2021,33
T,Y15-29,THS_PER,LV,Latvia,2022,31
T,Y15-29,THS_PER,LV,Latvia,2023,27
T,Y15-29,THS_PER,ME,Montenegro,2014,30
T,Y15-29,THS_PER,ME,Montenegro,2015,31
T,Y15-29,THS_PER,ME,Montenegro,2016,30
T,Y15-29,THS_PER,ME,Montenegro,2017,29
T,Y15-29,THS_PER,ME,Montenegro,2018,28
T,Y15-29,THS_PER,ME,Montenegro,2019,28
T,Y15-29,THS_PER,ME,Montenegro,2020,35
T,Y15-29,THS_PER,MK,North Macedonia,2014,146
T,Y15-29,THS_PER,MK,North Macedonia,2015,144
T,Y15-29,THS_PER,MK,North Macedonia,2016,136
T,Y15-29,THS_PER,MK,North Macedonia,2017,132
T,Y15-29,THS_PER,MK,North Macedonia,2018,124
T,Y15-29,THS_PER,MK,North Macedonia,2019,100
T,Y15-29,THS_PER,MK,North Macedonia,2020,104
T,Y15-29,THS_PER,MT,Malta,2014,10
T,Y15-29,THS_PER,MT,Malta,2015,10
T,Y15-29,THS_PER,MT,Malta,2016,8
T,Y15-29,THS_PER,MT,Malta,2017,8
T,Y15-29,THS_PER,MT,Malta,2018,7
T,Y15-29,THS_PER,MT,Malta,2019,8
T,Y15-29,THS_PER,MT,Malta,2020,9
T,Y15-29,THS_PER,MT,Malta,2021,10
T,Y15-29,THS_PER,MT,Malta,2022,7
T,Y15-29,THS_PER,MT,Malta,2023,8
T,Y15-29,THS_PER,NL,Netherlands,2014,254
T,Y15-29,THS_PER,NL,Netherlands,2015,227
T,Y15-29,THS_PER,NL,Netherlands,2016,218
T,Y15-29,THS_PER,NL,Netherlands,2017,208
T,Y15-29,THS_PER,NL,Netherlands,2018,201
T,Y15-29,THS_PER,NL,Netherlands,2019,203
T,Y15-29,THS_PER,NL,Netherlands,2020,205
T,Y15-29,THS_PER,NL,Netherlands,2021,127
T,Y15-29,THS_PER,NL,Netherlands,2022,138
T,Y15-29,THS_PER,NL,Netherlands,2023,157
T,Y15-29,THS_PER,NO,Norway,2014,85
T,Y15-29,THS_PER,NO,Norway,2015,85
T,Y15-29,THS_PER,NO,Norway,2016,86
T,Y15-29,THS_PER,NO,Norway,2017,79
T,Y15-29,THS_PER,NO,Norway,2018,78
T,Y15-29,THS_PER,NO,Norway,2019,77
T,Y15-29,THS_PER,NO,Norway,2020,79
T,Y15-29,THS_PER,NO,Norway,2021,75
T,Y15-29,THS_PER,NO,Norway,2022,69
T,Y15-29,THS_PER,NO,Norway,2023,65
T,Y15-29,THS_PER,PL,Poland,2014,1093
T,Y15-29,THS_PER,PL,Poland,2015,1005
T,Y15-29,THS_PER,PL,Poland,2016,920
T,Y15-29,THS_PER,PL,Poland,2017,826
T,Y15-29,THS_PER,PL,Poland,2018,746
T,Y15-29,THS_PER,PL,Poland,2019,683
T,Y15-29,THS_PER,PL,Poland,2020,739
T,Y15-29,THS_PER,PL,Poland,2021,758
T,Y15-29,THS_PER,PL,Poland,2022,605
T,Y15-29,THS_PER,PL,Poland,2023,508
T,Y15-29,THS_PER,PT,Portugal,2014,244
T,Y15-29,THS_PER,PT,Portugal,2015,217
T,Y15-29,THS_PER,PT,Portugal,2016,210
T,Y15-29,THS_PER,PT,Portugal,2017,174
T,Y15-29,THS_PER,PT,Portugal,2018,156
T,Y15-29,THS_PER,PT,Portugal,2019,149
T,Y15-29,THS_PER,PT,Portugal,2020,180
T,Y15-29,THS_PER,PT,Portugal,2021,161
T,Y15-29,THS_PER,PT,Portugal,2022,140
T,Y15-29,THS_PER,PT,Portugal,2023,146
T,Y15-29,THS_PER,RO,Romania,2014,907
T,Y15-29,THS_PER,RO,Romania,2015,930
T,Y15-29,THS_PER,RO,Romania,2016,860
T,Y15-29,THS_PER,RO,Romania,2017,752
T,Y15-29,THS_PER,RO,Romania,2018,703
T,Y15-29,THS_PER,RO,Romania,2019,662
T,Y15-29,THS_PER,RO,Romania,2020,635
T,Y15-29,THS_PER,RO,Romania,2021,611
T,Y15-29,THS_PER,RO,Romania,2022,597
T,Y15-29,THS_PER,RO,Romania,2023,566
T,Y15-29,THS_PER,RS,Serbia,2014,328
T,Y15-29,THS_PER,RS,Serbia,2015,308
T,Y15-29,THS_PER,RS,Serbia,2016,272
T,Y15-29,THS_PER,RS,Serbia,2017,259
T,Y15-29,THS_PER,RS,Serbia,2018,235
T,Y15-29,THS_PER,RS,Serbia,2019,218
T,Y15-29,THS_PER,RS,Serbia,2020,226
T,Y15-29,THS_PER,RS,Serbia,2021,203
T,Y15-29,THS_PER,RS,Serbia,2022,162
T,Y15-29,THS_PER,RS,Serbia,2023,158
T,Y15-29,THS_PER,SE,Sweden,2014,138
T,Y15-29,THS_PER,SE,Sweden,2015,130
T,Y15-29,THS_PER,SE,Sweden,2016,125
T,Y15-29,THS_PER,SE,Sweden,2017,121
T,Y15-29,THS_PER,SE,Sweden,2018,123
T,Y15-29,THS_PER,SE,Sweden,2019,112
T,Y15-29,THS_PER,SE,Sweden,2020,129
T,Y15-29,THS_PER,SE,Sweden,2021,112
T,Y15-29,THS_PER,SE,Sweden,2022,104
T,Y15-29,THS_PER,SE,Sweden,2023,104
T,Y15-29,THS_PER,SI,Slovenia,2014,38
T,Y15-29,THS_PER,SI,Slovenia,2015,35
T,Y15-29,THS_PER,SI,Slovenia,2016,30
T,Y15-29,THS_PER,SI,Slovenia,2017,25
T,Y15-29,THS_PER,SI,Slovenia,2018,23
T,Y15-29,THS_PER,SI,Slovenia,2019,23
T,Y15-29,THS_PER,SI,Slovenia,2020,24
T,Y15-29,THS_PER,SI,Slovenia,2021,22
T,Y15-29,THS_PER,SI,Slovenia,2022,25
T,Y15-29,THS_PER,SI,Slovenia,2023,24
T,Y15-29,THS_PER,SK,Slovakia,2014,193
T,Y15-29,THS_PER,SK,Slovakia,2015,176
T,Y15-29,THS_PER,SK,Slovakia,2016,157
T,Y15-29,THS_PER,SK,Slovakia,2017,153
T,Y15-29,THS_PER,SK,Slovakia,2018,134
T,Y15-29,THS_PER,SK,Slovakia,2019,130
T,Y15-29,THS_PER,SK,Slovakia,2020,133
T,Y15-29,THS_PER,SK,Slovakia,2021,127
T,Y15-29,THS_PER,SK,Slovakia,2022,106
T,Y15-29,THS_PER,SK,Slovakia,2023,94
T,Y15-29,THS_PER,TR,Türkiye,2014,5088
T,Y15-29,THS_PER,TR,Türkiye,2015,4997
T,Y15-29,THS_PER,TR,Türkiye,2016,4991
T,Y15-29,THS_PER,TR,Türkiye,2017,4940
T,Y15-29,THS_PER,TR,Türkiye,2018,4926
T,Y15-29,THS_PER,TR,Türkiye,2019,5225
T,Y15-29,THS_PER,TR,Türkiye,2020,5700
T,Y15-29,THS_PER,TR,Türkiye,2021,5145
T,Y15-29,THS_PER,TR,Türkiye,2022,4979
T,Y15-29,THS_PER,TR,Türkiye,2023,4695
